timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
144039397,0.8391646,0.018298903,-0.050324135,0.5412351,1.1965971,-0.3830517,9.7851925,0.9652723,3.2661507,5.236408,0
144072731,0.83752126,0.01719404,-0.053614862,0.54349595,1.0376533,-0.37568852,9.85393,1.650755,2.1153119,3.9638388,0
144106065,0.836017,0.01684232,-0.05540076,0.5456398,1.2050169,-0.3008679,9.695243,0.16545486,-3.0887449,3.5981207,0
144139399,0.8347797,0.017836634,-0.055698313,0.54746896,1.0602406,-0.2620782,9.50551,3.2422066,1.0545486,2.2212584,0
144172733,0.8335,0.012757562,-0.050841156,0.5500275,1.0567857,0.059117485,9.780632,-7.455669,23.659056,5.969245,0
144206067,0.83303154,0.0138281,-0.04453703,0.5512566,0.7042461,-0.35823205,9.4881315,12.111317,16.860159,-0.25777417,0
144239401,0.83263665,0.016510919,-0.044976547,0.5517435,1.1616119,0.26234654,9.7500725,4.6627235,-6.9104285,-1.4614749,0
144272735,0.83224976,0.01858727,-0.044881735,0.5522686,1.0598595,-0.1334514,10.041492,2.8576384,-2.5377707,-1.4220046,0
144306069,0.8345748,0.021153666,-0.03976898,0.5490501,0.5154351,-0.0390648,10.272789,14.008014,9.892449,-16.597916,0
144339403,0.83414716,0.023522407,-0.03602599,0.5498612,1.690408,0.17506386,10.805644,12.28406,6.29769,2.630172,0
144372737,0.8315419,0.02150326,-0.040686376,0.55355275,1.3080554,0.21998088,11.212442,-15.774485,-8.134342,15.509568,0
144406071,0.82862943,0.016709687,-0.05115655,0.55720484,0.9476942,0.102617145,10.960144,-34.821568,-19.443111,16.67324,0
144439405,0.82620597,0.015251102,-0.0614176,0.5598028,1.0634173,-0.37399352,10.703097,-25.173445,-25.825401,11.496579,0
144472739,0.82505095,0.019687397,-0.06836614,0.56056166,1.3951385,-0.58076334,10.200784,-2.0387678,-27.89793,2.139161,0
144506073,0.82487464,0.025788566,-0.07366331,0.55990225,1.9829214,-0.33090267,10.112946,5.9567842,-26.146423,-3.0256915,0
144539407,0.8248858,0.030885898,-0.0784527,0.55897665,1.6051648,-0.27027935,10.126559,4.0478005,-22.488447,-4.1945534,0
144572741,0.8246947,0.03536056,-0.08410034,0.55817175,1.6826522,-0.053666174,10.03724,0.77227724,-24.034525,-2.6726046,0
144606075,0.823793,0.03784997,-0.090709604,0.5583048,1.6921545,-0.18101208,9.753605,-6.4028053,-23.211002,2.3140273,0
144639409,0.82343185,0.040265407,-0.09700844,0.55760926,1.5234194,-0.3430383,9.764172,-6.280986,-22.402529,-1.0598487,0
144672743,0.82334197,0.04300277,-0.10358566,0.5563532,1.9490182,-0.15671308,9.81224,-6.112857,-24.072393,-3.478523,0
144706077,0.8230903,0.04633191,-0.10991984,0.5552415,1.8469201,-0.35199705,9.50541,-3.8683653,-24.673143,-2.742786,0
144739411,0.8232017,0.052519295,-0.11473054,0.55354995,1.8527298,-0.40573138,9.389982,6.943637,-25.976286,-6.4191823,0
144772745,0.8235649,0.06040662,-0.118671104,0.5513702,2.3594728,-0.20257065,9.188908,13.243487,-26.872105,-9.118048,0
144806079,0.8243573,0.067988,-0.12147952,0.54868543,2.4595273,-0.13679546,9.211292,14.255136,-22.978916,-11.4640255,0
144839413,0.8251279,0.0755206,-0.12461755,0.5458307,2.4341288,0.004357461,9.272749,13.46122,-23.88806,-11.805527,0
144872747,0.8254149,0.08217175,-0.12819454,0.54360306,2.4838433,0.09765832,9.277994,10.530179,-23.58679,-8.616465,0
144906081,0.825448,0.089880876,-0.13234717,0.5413331,2.477748,0.04530453,9.131291,12.535231,-27.4125,-8.561515,0
144939415,0.8258384,0.09716411,-0.13636892,0.5384735,2.8432713,0.36379975,8.965564,11.219532,-26.351398,-10.742371,0
144972749,0.8257505,0.1017622,-0.14046627,0.5367028,3.1896648,0.36680725,8.880127,4.088844,-21.422192,-5.4585533,0
145006083,0.8252435,0.105406664,-0.14500359,0.5355714,2.7686691,0.27985075,8.984633,1.0321118,-20.869762,-2.2511206,0
145039417,0.82498074,0.110484436,-0.14872739,0.5339292,3.0394406,0.13763705,8.686045,6.281718,-21.35148,-5.1611376,0
145072751,0.82515156,0.115526125,-0.15187587,0.531707,3.3828318,0.18653612,8.87661,6.834882,-19.648554,-7.8165183,0
145106085,0.8259634,0.12055988,-0.15464546,0.5285213,3.3290381,0.17103483,8.656557,6.8074036,-18.599537,-11.88426,0
145139419,0.82720345,0.12699257,-0.15466385,0.5250585,3.4502404,0.3386913,8.380241,15.516761,-13.200316,-15.351105,0
145172753,0.8287281,0.13411467,-0.15404417,0.52105045,3.4453843,0.42829728,8.443901,18.25025,-12.699122,-18.066353,0
145206087,0.8302297,0.14031167,-0.15275368,0.5173953,3.8614311,0.81722397,8.210463,17.040968,-8.944454,-16.843521,0
145239421,0.831446,0.143186,-0.15217468,0.51481867,3.752796,0.94633263,8.679875,6.9675736,-4.6060476,-11.159683,0
145272755,0.83198404,0.14568318,-0.15322727,0.5129333,3.6092157,0.9475876,8.631766,3.6796837,-8.605774,-6.9750614,0
145306089,0.8328663,0.14579155,-0.15456164,0.5110668,4.070043,1.0743861,8.761126,-3.8298454,-5.0085883,-6.1203666,0
