timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
4015494238,0.3984035,0.08573683,0.016310701,-0.9130486,-1.6126258,0.30428132,9.5047245,0.24962775,-0.37586638,0.31141838,0
4015527572,0.3978558,0.08511685,0.0175023,-0.91332346,-1.5485685,0.32642287,9.515868,-0.39676,2.2947989,-0.2816757,0
4015560906,0.39703655,0.08534224,0.018072868,-0.9136478,-1.668831,0.34675315,9.483465,-0.27473465,4.2634873,-0.47206774,0
4015594240,0.39679885,0.08551513,0.018013764,-0.9137359,-1.7539114,0.35068506,9.548254,0.3689477,0.23502532,1.4178838,0
4015627574,0.39630568,0.086082704,0.018093247,-0.9138951,-1.7081759,0.34287935,9.509655,0.3375594,0.53731924,-0.014836157,0
4015660908,0.39619154,0.08637738,0.018029524,-0.9139181,-1.5645097,0.33766207,9.500555,0.35750523,0.11997307,0.9411418,0
4015694242,0.39646736,0.08665242,0.01794563,-0.913774,-1.6560153,0.34378913,9.552518,0.44821912,0.9265428,1.6977413,0
4015727576,0.39730495,0.086047165,0.01733785,-0.91347915,-1.6829828,0.42213422,9.623278,0.6151884,-2.565625,4.0245023,0
4015760910,0.39878002,0.08491415,0.016509067,-0.9129577,-1.6845018,0.3714321,9.542063,0.19462146,-4.588243,6.3048944,0
4015794244,0.39921477,0.08473664,0.01613794,-0.9127907,-1.7487458,0.44046307,9.5588455,0.3461461,-1.1444013,3.031446,0
4015827578,0.39884433,0.085488096,0.016118817,-0.912883,-1.7515239,0.49954298,9.616789,0.6921991,1.9666678,-0.39009416,0
4015860912,0.3990255,0.084972695,0.015616372,-0.91286075,-1.6769814,0.4652868,9.63698,0.19218172,-2.7299428,1.4942739,0
4015894246,0.3993898,0.08438953,0.015066758,-0.9127647,-1.6245005,0.47789752,9.595527,0.17594966,-2.9075348,2.1801436,0
4015927580,0.39953452,0.084129214,0.014939783,-0.9127275,-1.613044,0.47225857,9.594955,-0.6702972,-1.2247931,1.4790279,0
4015960914,0.39995828,0.083451845,0.014645125,-0.9126088,-1.5624521,0.4262217,9.505469,-0.7446381,-2.6999438,2.252461,0
4015994248,0.40059942,0.082832254,0.013978042,-0.9123945,-1.6527247,0.4582989,9.605625,0.5004562,-2.9569097,3.1911476,0
4016027582,0.4031011,0.07981853,0.011803617,-0.91159165,-1.5854454,0.39211777,9.45586,1.3749621,-12.489677,10.310666,0
4016060916,0.40460736,0.079325624,0.010848394,-0.91097903,-1.5181159,0.4412018,9.467747,1.353104,-2.9009035,7.081357,0
4016094250,0.404151,0.08089265,0.0114344945,-0.9110366,-1.4860693,0.45769688,9.548772,0.043013345,5.580872,-0.64859706,0
4016127584,0.40389773,0.08199531,0.011864442,-0.91104484,-1.5545961,0.49221534,9.656065,-0.15250444,3.9638572,0.010177847,0
4016160918,0.40469193,0.0808313,0.011264492,-0.91080415,-1.5261959,0.44684547,9.563727,-0.37024456,-4.524819,3.8556256,0
4016194252,0.4049547,0.08076186,0.011181946,-0.91069436,-1.6489203,0.5324886,9.584359,-0.27378696,-0.39535123,1.8041811,0
4016227586,0.40479723,0.08035695,0.0110818725,-0.9108015,-1.6602707,0.5050806,9.6147995,-0.6034416,-1.5679712,0.32217896,0
4016260920,0.40470898,0.08001449,0.011269321,-0.9108685,-1.5634965,0.48199883,9.56311,-1.4168559,-0.9963659,0.41040185,0
4016294254,0.40475622,0.07936597,0.011471663,-0.9109018,-1.5671254,0.5024273,9.597571,-1.9119881,-1.9395155,0.81816256,0
4016327588,0.40469706,0.07931311,0.011825205,-0.91092813,-1.5156794,0.37891054,9.494912,-1.5300833,0.15100926,0.5192559,0
4016360922,0.4042318,0.080454685,0.012770691,-0.9110218,-1.4487284,0.4379236,9.465222,-1.5699053,4.731157,-0.9911926,0
4016394256,0.40374538,0.08205857,0.013967673,-0.91107684,-1.5528147,0.38364598,9.456739,-1.7108078,6.561821,-1.0076618,0
4016427590,0.4030172,0.08465621,0.015211883,-0.91114163,-1.5784965,0.34970993,9.456675,-0.36546814,9.749742,-1.8831254,0
4016460924,0.40322462,0.08661721,0.015883474,-0.91085416,-1.665745,0.5158102,9.709621,0.26971155,7.027071,1.6451594,0
4016494258,0.40501687,0.085003346,0.014701605,-0.9102306,-1.798058,0.44106838,9.833444,0.608645,-6.7192,7.4168367,0
4016527592,0.4089972,0.07892812,0.009142262,-0.90906996,-1.7791882,0.4870957,9.749478,7.4216275,-26.749413,16.231102,0
4016560926,0.41443256,0.06639324,-0.0020124218,-0.9076528,-1.587887,0.8230017,10.22409,15.4058485,-54.80348,22.602821,0
4016594260,0.4186818,0.0541076,-0.011796096,-0.906443,-1.2914646,0.57865494,9.295714,11.71489,-52.149754,18.445005,0
4016627594,0.41810605,0.04699369,-0.015441517,-0.90705055,-0.9403243,0.58827114,9.379851,0.89768046,-27.777384,-0.5553278,0
4016660928,0.41853002,0.04244252,-0.018195003,-0.9070282,-0.6594125,0.589244,9.527233,1.7118812,-18.360062,3.2082787,0
4016694262,0.4200146,0.03833827,-0.02202993,-0.90643966,-0.5324213,0.6967522,9.600779,5.635414,-18.356144,7.4542084,0
4016727596,0.42074975,0.037017304,-0.023343233,-0.9061206,-0.4042242,0.6609162,9.438076,1.9366897,-6.1789975,3.1768126,0
4016760930,0.4206905,0.037505303,-0.023061909,-0.9061353,-0.41379678,0.74249434,9.688564,-0.326325,1.6808494,-0.12964508,0
4016794264,0.42301095,0.034236263,-0.02505517,-0.9051308,-0.5057156,0.7862698,9.813306,1.0950718,-12.972469,9.347205,0
4016827598,0.42665562,0.028710121,-0.029395888,-0.9034803,-0.5315665,0.7297125,9.838161,5.0172405,-23.230993,14.879557,0
