timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp_marked
289702217,0.9013993,-0.008351937,-0.0043877233,0.43288603,0.008632754,-0.1916685,9.853619,-0.35859063,0.6323839,0.98960423,0
289718884,0.9014142,-0.008520723,-0.0043374635,0.43285212,0.011905647,-0.18910293,9.860787,-0.31704682,0.69690233,0.9545149,0
289735551,0.90125567,-0.008637635,-0.0043223905,0.43318015,0.012942502,-0.18838559,9.853025,-0.38501012,0.7192495,0.91770947,0
289752218,0.9012477,-0.008711638,-0.0043169972,0.4331953,-0.0008307945,-0.19901755,9.847448,-0.35706666,0.6518369,0.9288382,0
289768885,0.9011809,-0.008817614,-0.0042682295,0.4333325,0.0018060155,-0.18529092,9.834806,-0.2809457,0.71310234,0.95136446,0
289785552,0.90110224,-0.008898959,-0.004211785,0.43349507,0.002272977,-0.18515493,9.845765,-0.3341305,0.6449215,0.883286,0
289802219,0.90104187,-0.008967912,-0.0041504274,0.43361977,0.0014001911,-0.17258681,9.852535,-0.34934437,0.64373034,0.9085913,0
289818886,0.90104026,-0.0090071345,-0.004079141,0.43362293,-0.0075121173,-0.17890541,9.852982,-0.30708346,0.6154796,0.8804301,0
289835553,0.9010323,-0.009051316,-0.003996888,0.43363908,0.004387906,-0.18029523,9.830435,-0.3261393,0.64244974,0.9338838,0
289852220,0.9009686,-0.009094861,-0.0039185155,0.43377125,0.00862985,-0.18304802,9.853349,-0.3208503,0.6777889,1.0658982,0
289868887,0.9009909,-0.009132424,-0.0038504137,0.43372503,0.0041329605,-0.17978716,9.835528,-0.28668293,0.6437687,0.885796,0
289885554,0.9010225,-0.009183631,-0.0037878042,0.43365878,0.0063042194,-0.18061264,9.844689,-0.37767205,0.6656676,0.95223534,0
289902221,0.9010146,-0.009216548,-0.0037184698,0.43367502,0.0114283245,-0.19460738,9.841377,-0.23018132,0.6791911,0.9403254,0
289918888,0.90105176,-0.009263751,-0.0036549787,0.43359742,0.006249912,-0.20955719,9.849515,-0.28094572,0.7080055,0.9323856,0
289935555,0.9010655,-0.009330555,-0.0035977084,0.43356797,0.00902016,-0.1900425,9.844654,-0.34294125,0.73795944,0.8933005,0
289952222,0.90107226,-0.009398134,-0.0035565821,0.43355247,0.003636662,-0.19340804,9.84502,-0.38795555,0.65145254,0.9012916,0
289968889,0.9010685,-0.0094502475,-0.0035067897,0.4335596,-0.0030434397,-0.17880255,9.843786,-0.25439817,0.65662646,0.9197457,0
289985556,0.9010116,-0.009521029,-0.003452578,0.43367678,0.013604202,-0.1909115,9.843575,-0.37389418,0.73328525,0.9263537,0
290002223,0.9009722,-0.009577167,-0.0033846078,0.43375802,0.013968332,-0.20462109,9.850483,-0.23582894,0.7881861,0.9060557,0
290018890,0.90094995,-0.0096298745,-0.0033290633,0.4338036,0.010523782,-0.19100133,9.859013,-0.22806826,0.7102594,0.91441816,0
290035557,0.9009168,-0.009701233,-0.0032913026,0.4338709,0.007555723,-0.17776255,9.855787,-0.3965486,0.65990484,1.0281259,0
290052224,0.9009194,-0.0097680325,-0.0032399942,0.4338645,-0.0038797117,-0.19004384,9.84329,-0.3434407,0.7270997,0.8867053,0
